date,ticker,name,open,high,low,close,volume,turnover
2024-03-18,2330,台積電,702.60,724.96,698.78,724.63,140079,101505043
2024-03-19,2330,台積電,724.02,734.21,710.69,726.61,326572,237290840
2024-03-20,2330,台積電,721.12,743.12,718.04,742.37,59614,44255509
2024-03-21,2330,台積電,740.12,753.91,738.69,748.25,139696,104526861
2024-03-22,2330,台積電,754.20,754.67,748.88,751.45,157874,118633776
2024-03-25,2330,台積電,755.41,758.86,736.41,741.48,50120,37162984
2024-03-26,2330,台積電,748.65,773.64,747.39,768.27,107096,82278140
2024-03-27,2330,台積電,766.05,784.68,749.62,757.40,93322,70681850
2024-03-28,2330,台積電,761.00,761.11,743.14,743.52,309842,230374012
2024-03-29,2330,台積電,734.57,736.91,724.09,730.81,369363,269935570
2024-04-01,2330,台積電,728.13,757.46,718.03,747.05,303730,226901165
2024-04-02,2330,台積電,750.97,751.98,738.33,741.73,226653,168116394
2024-04-03,2330,台積電,738.31,742.34,727.01,734.77,224782,165162193
2024-04-04,2330,台積電,734.73,742.75,730.42,734.19,313813,230399603
2024-04-05,2330,台積電,738.11,750.10,726.79,727.62,114165,83068420
2024-04-08,2330,台積電,724.87,727.02,719.52,721.51,143673,103661460
2024-04-09,2330,台積電,719.01,723.89,716.16,716.91,249872,179135655
2024-04-10,2330,台積電,712.57,719.02,694.00,699.51,243658,170440633
2024-04-11,2330,台積電,699.61,710.29,689.36,689.73,88791,61241834
2024-04-12,2330,台積電,687.11,693.47,680.47,691.11,275364,190308188
2024-04-15,2330,台積電,698.49,701.51,682.13,691.05,270860,187176555
2024-04-16,2330,台積電,685.80,693.41,658.94,665.26,339886,226112675
2024-04-17,2330,台積電,668.80,675.38,631.44,641.28,305053,195623222
2024-04-18,2330,台積電,643.93,644.64,633.50,640.59,302706,193909044
2024-04-19,2330,台積電,644.37,644.89,635.97,641.26,265356,170162033
2024-04-22,2330,台積電,642.24,649.32,638.89,646.96,227810,147383223
2024-04-23,2330,台積電,649.40,651.06,628.53,634.38,336009,213156137
2024-04-24,2330,台積電,634.15,642.28,631.12,636.38,188086,119693484
2024-04-25,2330,台積電,639.69,643.43,626.52,632.71,280411,177419229
2024-04-26,2330,台積電,625.64,641.14,619.10,640.17,221496,141794539
2024-04-29,2330,台積電,644.72,648.09,625.29,630.88,99473,62755129
2024-04-30,2330,台積電,630.36,652.19,625.71,644.88,83412,53791083
2024-05-01,2330,台積電,643.39,648.86,638.94,640.72,130580,83665335
2024-05-02,2330,台積電,641.62,644.17,616.34,630.32,246517,155383417
2024-05-03,2330,台積電,615.83,650.64,611.03,644.40,379411,244490595
2024-05-06,2330,台積電,647.01,658.94,642.62,658.06,162561,106975429
2024-05-07,2330,台積電,655.80,662.58,641.82,643.65,231186,148801815
2024-05-08,2330,台積電,639.05,667.66,630.91,661.39,210472,139203180
2024-05-09,2330,台積電,664.49,676.84,657.73,675.98,245917,166234499
2024-05-10,2330,台積電,677.57,685.45,645.63,647.77,228129,147775696
2024-05-13,2330,台積電,646.31,648.09,629.66,639.85,202472,129551130
2024-05-14,2330,台積電,639.15,641.03,637.03,637.59,218883,139558063
2024-05-15,2330,台積電,644.62,653.88,628.71,635.92,100227,63736570
2024-05-16,2330,台積電,635.00,650.02,617.97,619.27,330289,204538053
2024-05-17,2330,台積電,613.06,641.95,608.92,639.56,181974,116382627
2024-05-20,2330,台積電,645.77,652.10,633.45,633.70,319258,202314607
2024-05-21,2330,台積電,631.60,652.42,628.56,646.50,220727,142699705
2024-05-22,2330,台積電,642.56,669.01,641.13,658.52,43671,28758382
2024-05-23,2330,台積電,659.50,663.68,642.79,649.09,154193,100084767
2024-05-24,2330,台積電,646.57,662.86,645.87,657.30,142954,93964153
2024-05-27,2330,台積電,657.53,666.42,646.83,651.99,193401,126095145
2024-05-28,2330,台積電,651.91,668.37,650.52,662.93,163012,108065439
2024-05-29,2330,台積電,662.36,667.56,652.85,653.51,127193,83121502
2024-05-30,2330,台積電,653.30,658.10,615.78,623.95,416388,259806422
2024-05-31,2330,台積電,625.77,628.00,612.97,613.47,45000,27605983
2024-06-03,2330,台積電,614.19,621.53,609.78,620.29,95891,59480642
2024-06-04,2330,台積電,620.32,625.95,615.69,623.29,247861,154490517
2024-06-05,2330,台積電,623.74,625.54,617.67,623.84,60860,37966890
2024-06-06,2330,台積電,628.16,631.80,615.91,618.95,293602,181724768
2024-06-07,2330,台積電,621.16,623.35,615.39,620.91,295495,183474943
2024-06-10,2330,台積電,621.54,628.38,610.70,616.52,303204,186931591
2024-06-11,2330,台積電,614.91,627.53,607.77,620.09,128008,79375981
2024-06-12,2330,台積電,619.96,622.28,607.61,608.06,118419,72005285
2024-06-13,2330,台積電,609.43,610.47,575.53,579.26,225363,130543002
2024-06-14,2330,台積電,575.90,584.15,571.42,575.69,317130,182570032
2024-06-17,2330,台積電,572.64,575.45,557.03,559.44,123060,68844798
2024-06-18,2330,台積電,556.31,577.66,552.53,575.39,353339,203306246
2024-06-19,2330,台積電,573.77,587.02,568.74,585.20,173796,101705887
2024-06-20,2330,台積電,585.19,590.72,571.14,572.52,206584,118274486
2024-06-21,2330,台積電,572.09,576.85,561.23,570.45,292818,167039452
2024-06-24,2330,台積電,566.70,609.71,565.22,609.52,180485,110009046
2024-06-25,2330,台積電,610.42,613.51,586.85,593.41,382973,227259097
2024-06-26,2330,台積電,585.50,608.59,582.93,604.50,91465,55290872
2024-06-27,2330,台積電,602.19,613.75,589.27,610.54,293486,179185445
2024-06-28,2330,台積電,610.87,622.29,604.46,615.05,270282,166236326
2024-07-01,2330,台積電,614.90,616.95,614.46,615.12,253645,156022333
2024-07-02,2330,台積電,619.46,619.70,598.99,602.71,320216,192997266
2024-07-03,2330,台積電,604.71,610.07,604.58,608.73,330936,201450923
2024-07-04,2330,台積電,607.17,613.86,599.97,602.17,79988,48166050
2024-07-05,2330,台積電,608.44,616.05,602.73,605.35,103270,62514443
2024-07-08,2330,台積電,605.40,606.95,577.46,587.56,302303,177622451
2024-07-09,2330,台積電,591.65,597.35,584.91,587.94,91223,53633338
2024-07-10,2330,台積電,585.98,604.38,579.60,593.46,272167,161520676
2024-07-11,2330,台積電,593.69,597.44,587.11,593.21,314940,186826042
2024-07-12,2330,台積電,593.33,597.21,581.26,586.89,292112,171438278
2024-07-15,2330,台積電,592.12,596.10,568.34,568.81,255917,145567846
2024-07-16,2330,台積電,574.19,574.46,562.34,570.51,200715,114509361
2024-07-17,2330,台積電,573.55,579.65,557.98,558.70,58257,32548243
2024-07-18,2330,台積電,564.38,585.42,558.49,577.17,99756,57576342
2024-07-19,2330,台積電,576.60,583.11,561.43,565.48,118161,66817385
2024-07-22,2330,台積電,567.93,585.27,564.27,581.43,85531,49730505
2024-07-23,2330,台積電,576.42,597.17,573.26,593.71,291093,172823636
2024-07-24,2330,台積電,593.07,603.94,584.09,595.59,133498,79509475
2024-07-25,2330,台積電,592.09,602.57,583.89,595.18,222993,132721462
2024-07-26,2330,台積電,597.57,600.47,595.91,599.63,199043,119352513
2024-07-29,2330,台積電,600.94,609.88,591.22,595.11,112821,67140878
2024-07-30,2330,台積電,599.11,604.37,593.23,601.73,312146,187826700
2024-07-31,2330,台積電,604.61,609.21,603.85,609.19,259289,157955866
2024-08-01,2330,台積電,606.26,627.59,604.43,622.68,345435,215096201
2024-08-02,2330,台積電,631.02,635.75,612.36,613.64,224898,138005596
2024-08-05,2330,台積電,612.36,619.69,608.72,616.69,166146,102461183
2024-08-06,2330,台積電,617.57,649.27,616.99,637.60,71487,45579792
2024-08-07,2330,台積電,634.51,662.26,628.75,653.77,163639,106982325
2024-08-08,2330,台積電,651.68,658.20,638.73,644.85,356031,229587803
2024-08-09,2330,台積電,643.11,644.27,640.78,641.98,230110,147724878
2024-08-12,2330,台積電,642.67,657.24,639.86,652.76,244686,159721037
2024-08-13,2330,台積電,654.47,662.72,653.15,655.45,154704,101399986
2024-08-14,2330,台積電,653.02,670.63,651.78,659.75,188386,124286841
2024-08-15,2330,台積電,655.90,664.22,651.61,664.10,341772,226971689
2024-08-16,2330,台積電,654.03,660.36,648.64,658.43,217715,143349657
2024-08-19,2330,台積電,658.82,677.45,650.84,673.15,344457,231871732
2024-08-20,2330,台積電,676.74,679.93,653.97,660.06,354074,233708903
2024-08-21,2330,台積電,656.96,671.87,654.82,671.47,270091,181358405
2024-08-22,2330,台積電,669.78,689.70,658.36,680.08,182926,124403475
2024-08-23,2330,台積電,680.03,692.14,678.58,686.08,207351,142258389
2024-08-26,2330,台積電,680.62,689.59,670.99,675.95,112826,76264972
2024-08-27,2330,台積電,672.38,700.52,662.70,689.35,181721,125269078
2024-08-28,2330,台積電,690.09,713.08,686.29,701.05,87526,61360473
2024-08-29,2330,台積電,700.61,714.48,698.82,713.06,175718,125298032
2024-08-30,2330,台積電,714.92,724.60,712.21,715.33,315559,225727730
2024-09-02,2330,台積電,707.28,717.01,676.33,692.80,358988,248705294
2024-09-03,2330,台積電,699.68,709.74,693.18,699.24,143999,100689565
2024-09-04,2330,台積電,701.15,713.85,695.39,695.61,99014,68875279
2024-09-05,2330,台積電,695.24,721.34,687.09,711.26,108579,77227790
2024-09-06,2330,台積電,711.90,735.85,708.29,733.99,72338,53095148
2024-09-09,2330,台積電,737.00,750.46,734.14,743.61,211208,157057124
2024-09-10,2330,台積電,743.45,745.36,736.20,736.88,341538,251672244
2024-09-11,2330,台積電,736.28,743.42,719.04,721.86,245069,176905906
2024-09-12,2330,台積電,722.71,736.01,711.12,716.00,183483,131374292
2024-09-13,2330,台積電,715.09,720.63,705.94,712.04,180480,128509441
2024-09-16,2330,台積電,715.64,722.59,698.71,698.94,96181,67225125
2024-09-17,2330,台積電,694.49,710.76,690.14,709.93,260207,184729583
2024-09-18,2330,台積電,707.32,728.57,701.10,719.99,189107,136155451
2024-09-19,2330,台積電,722.59,731.20,690.37,702.30,76102,53446708
2024-09-20,2330,台積電,703.19,706.89,696.97,706.67,93398,66002028
2024-09-23,2330,台積電,704.88,706.47,687.50,690.34,225465,155646481
2024-09-24,2330,台積電,683.89,713.08,682.87,711.25,201983,143659640
2024-09-25,2330,台積電,709.10,711.30,692.11,701.25,146018,102394972
2024-09-26,2330,台積電,698.32,711.83,694.90,707.90,141054,99851986
2024-09-27,2330,台積電,700.86,720.29,692.81,716.52,343557,246164320
2024-09-30,2330,台積電,714.63,715.18,698.00,699.45,184370,128958136
2024-10-01,2330,台積電,696.29,709.17,695.54,696.03,287137,199855914
2024-10-02,2330,台積電,694.82,697.57,692.68,693.17,269087,186523376
2024-10-03,2330,台積電,697.05,704.05,688.43,695.86,284911,198257580
2024-10-04,2330,台積電,691.35,691.41,671.94,673.91,88455,59611140
2024-10-07,2330,台積電,679.32,683.97,669.46,671.21,260821,175065227
2024-10-08,2330,台積電,673.77,684.00,667.35,680.87,362252,246645025
2024-10-09,2330,台積電,683.33,687.32,676.10,677.51,128508,87066035
2024-10-10,2330,台積電,671.22,684.95,666.28,679.62,222663,151326414
2024-10-11,2330,台積電,682.88,696.79,682.86,684.91,197645,135369765
2024-10-14,2330,台積電,688.19,721.68,686.52,707.17,219759,155407963
2024-10-15,2330,台積電,704.85,707.63,690.39,691.94,50292,34799098
2024-10-16,2330,台積電,691.45,708.86,689.04,699.36,206652,144524125
2024-10-17,2330,台積電,703.26,727.01,699.10,720.19,260990,187963692
2024-10-18,2330,台積電,715.43,735.49,712.86,735.00,364370,267811555
2024-10-21,2330,台積電,738.17,753.38,729.32,746.93,357330,266898790
2024-10-22,2330,台積電,744.16,753.75,735.40,750.71,327527,245877645
2024-10-23,2330,台積電,755.34,789.58,753.33,780.60,390568,304877396
2024-10-24,2330,台積電,783.68,790.31,742.33,749.55,418877,313970334
2024-10-25,2330,台積電,753.61,761.97,734.44,743.37,307881,228870526
2024-10-28,2330,台積電,745.05,760.65,744.36,758.38,186022,141074585
2024-10-29,2330,台積電,762.24,789.17,756.75,782.77,303467,237545437
2024-10-30,2330,台積電,777.60,792.69,747.53,751.37,386749,290590894
2024-10-31,2330,台積電,748.40,749.83,742.16,744.14,83954,62473767
2024-11-01,2330,台積電,736.91,762.24,731.99,753.65,55454,41792858
2024-11-04,2330,台積電,758.10,762.14,753.07,753.65,191329,144194761
2024-11-05,2330,台積電,751.63,766.33,749.59,765.33,347947,266295251
2024-11-06,2330,台積電,764.09,766.58,756.86,762.00,325761,248231092
2024-11-07,2330,台積電,760.74,789.49,755.70,780.29,225074,175623326
2024-11-08,2330,台積電,786.12,793.92,764.30,772.35,75565,58362934
2024-11-11,2330,台積電,776.20,780.29,757.45,767.11,346524,265820402
2024-11-12,2330,台積電,766.13,773.55,766.06,772.20,174960,135103940
2024-11-13,2330,台積電,774.87,781.23,774.43,776.15,95760,74324275
2024-11-14,2330,台積電,779.11,791.56,778.68,782.63,278233,217754354
2024-11-15,2330,台積電,783.55,799.86,778.43,795.05,117732,93602531
2024-11-18,2330,台積電,801.14,813.89,794.40,804.25,57024,45861479
2024-11-19,2330,台積電,807.78,813.47,783.24,785.27,276532,217151674
2024-11-20,2330,台積電,788.44,791.79,770.88,786.12,116390,91495994
2024-11-21,2330,台積電,793.85,799.60,760.98,762.33,254221,193800346
2024-11-22,2330,台積電,762.25,765.21,738.70,747.57,165911,124029821
2024-11-25,2330,台積電,749.08,772.29,744.74,762.20,301654,229922074
2024-11-26,2330,台積電,759.44,770.97,744.49,768.78,103488,79559997
2024-11-27,2330,台積電,767.17,777.56,753.82,771.58,45451,35069177
2024-11-28,2330,台積電,773.75,775.96,757.26,759.14,148811,112968406
2024-11-29,2330,台積電,760.84,798.12,750.86,790.58,128843,101860610
2024-12-02,2330,台積電,792.89,827.98,782.20,821.78,324021,266274154
2024-12-03,2330,台積電,821.93,822.46,805.83,820.08,271773,222876954
2024-12-04,2330,台積電,817.82,839.94,812.37,839.01,103882,87158288
2024-12-05,2330,台積電,840.43,857.76,839.44,854.10,289559,247313745
2024-12-06,2330,台積電,853.62,853.84,847.19,851.53,221845,188906909
2024-12-09,2330,台積電,851.57,870.37,840.87,865.84,298456,258416548
2024-12-10,2330,台積電,865.56,895.27,864.47,871.47,285993,249233575
2024-12-11,2330,台積電,872.71,909.49,867.66,903.42,53869,48666515
2024-12-12,2330,台積電,904.88,907.01,896.09,899.31,293140,263624036
2024-12-13,2330,台積電,894.88,912.13,890.60,897.68,109020,97865293
2024-12-16,2330,台積電,891.12,914.76,890.42,909.52,101805,92594123
2024-12-17,2330,台積電,912.87,936.56,910.45,935.87,151497,141781869
2024-12-18,2330,台積電,932.93,959.66,923.55,946.86,261654,247750458
2024-01-02,2317,鴻海,104.56,104.78,101.67,102.05,44472,4538362
2024-01-03,2317,鴻海,102.25,102.98,100.32,100.52,25775,2590916
2024-01-04,2317,鴻海,100.53,102.00,98.44,98.62,50741,5003974
2024-01-05,2317,鴻海,98.93,101.28,98.73,100.58,15970,1606253
2024-01-08,2317,鴻海,100.94,101.05,99.48,99.96,47044,4702546
2024-01-09,2317,鴻海,100.08,101.83,97.39,99.70,30659,3056814
2024-01-10,2317,鴻海,99.04,99.43,97.16,97.88,59389,5813075
2024-01-11,2317,鴻海,97.19,99.37,96.34,98.67,47383,4675509
2024-01-12,2317,鴻海,98.71,99.83,98.12,99.29,58266,5785459
2024-01-15,2317,鴻海,99.35,100.86,98.71,100.24,14298,1433291
2024-01-16,2317,鴻海,99.97,100.34,97.98,98.47,19024,1873297
2024-01-17,2317,鴻海,98.52,99.87,98.31,99.52,31738,3158637
2024-01-18,2317,鴻海,99.20,100.25,96.42,99.23,24246,2405915
2024-01-19,2317,鴻海,99.89,102.27,99.37,101.54,17240,1750629
2024-01-22,2317,鴻海,100.33,103.85,99.21,103.19,62020,6400047
2024-01-23,2317,鴻海,102.91,103.37,97.96,99.78,80924,8074946
2024-01-24,2317,鴻海,100.20,101.98,100.06,100.53,28650,2880067
2024-01-25,2317,鴻海,100.42,101.66,99.33,100.65,54167,5452006
2024-01-26,2317,鴻海,101.40,104.11,100.61,103.03,58459,6023135
2024-01-29,2317,鴻海,102.89,104.91,99.22,100.21,78004,7816627
2024-01-30,2317,鴻海,100.46,102.97,99.34,101.88,62401,6357542
2024-01-31,2317,鴻海,101.64,103.31,100.49,101.24,11930,1207757
2024-02-01,2317,鴻海,100.71,103.28,99.07,102.25,28279,2891504
2024-02-02,2317,鴻海,103.23,103.60,99.50,100.02,73830,7384310
2024-02-05,2317,鴻海,99.91,101.59,99.67,101.31,69019,6992486
2024-02-06,2317,鴻海,102.35,104.01,101.22,103.28,69330,7160412
2024-02-07,2317,鴻海,104.26,104.49,101.04,101.30,72869,7381679
2024-02-08,2317,鴻海,100.91,102.54,100.41,101.50,9260,939916
2024-02-09,2317,鴻海,101.51,102.43,98.94,99.20,79598,7895807
2024-02-12,2317,鴻海,99.49,99.96,97.04,97.74,52828,5163431
2024-02-13,2317,鴻海,98.37,98.65,97.08,98.39,38325,3770936
2024-02-14,2317,鴻海,98.35,99.93,98.09,99.27,50346,4997710
2024-02-15,2317,鴻海,99.64,102.46,99.02,100.57,66686,6706902
2024-02-16,2317,鴻海,101.20,101.95,95.22,96.92,45173,4378313
2024-02-19,2317,鴻海,97.18,98.90,96.85,97.30,50763,4939145
2024-02-20,2317,鴻海,97.47,101.70,97.35,101.13,50972,5154891
2024-02-21,2317,鴻海,101.25,103.14,100.22,102.45,34857,3571021
2024-02-22,2317,鴻海,102.22,103.22,98.43,99.31,53371,5300233
2024-02-23,2317,鴻海,99.68,100.03,97.28,98.24,14134,1388561
2024-02-26,2317,鴻海,98.59,99.10,95.95,96.94,66318,6428913
2024-02-27,2317,鴻海,97.82,100.35,97.12,100.14,50074,5014433
2024-02-28,2317,鴻海,99.81,100.46,99.81,100.20,18290,1832747
2024-02-29,2317,鴻海,99.34,100.59,97.95,99.56,19587,1950133
2024-03-01,2317,鴻海,100.16,101.50,98.46,98.53,35297,3477967
2024-03-04,2317,鴻海,98.21,99.25,96.90,96.97,54434,5278233
2024-03-05,2317,鴻海,96.55,98.66,96.42,97.61,64085,6255137
2024-03-06,2317,鴻海,97.70,99.72,96.34,99.43,66098,6571901
2024-03-07,2317,鴻海,99.58,100.87,99.33,99.53,39299,3911474
2024-03-08,2317,鴻海,100.12,101.42,100.00,101.04,9341,943799
2024-03-11,2317,鴻海,101.23,101.51,98.54,99.46,67746,6738040
2024-03-12,2317,鴻海,98.98,102.82,98.82,102.40,31300,3205047
2024-03-13,2317,鴻海,101.73,103.23,95.52,96.91,70132,6796477
2024-03-14,2317,鴻海,96.68,98.35,95.43,98.18,69326,6806257
2024-03-15,2317,鴻海,97.82,99.26,97.65,98.62,33384,3292479
2024-03-18,2317,鴻海,99.91,100.05,98.80,99.34,51642,5129984
2024-03-19,2317,鴻海,99.75,99.93,98.13,98.75,17880,1765662
2024-03-20,2317,鴻海,98.48,99.07,96.52,96.97,22408,2172815
2024-03-21,2317,鴻海,97.35,97.84,95.96,96.67,29224,2824972
2024-03-22,2317,鴻海,96.34,96.81,95.33,96.68,29673,2868697
2024-03-25,2317,鴻海,97.18,98.19,95.99,98.13,59531,5841913
2024-03-26,2317,鴻海,98.48,98.92,97.54,98.34,65902,6480825
2024-03-27,2317,鴻海,98.29,99.14,97.94,98.39,47272,4651162
2024-03-28,2317,鴻海,98.44,98.94,96.32,97.36,15606,1519338
2024-03-29,2317,鴻海,97.07,97.20,96.54,96.72,22820,2207083
2024-04-01,2317,鴻海,97.16,98.64,93.78,94.12,61800,5816396
2024-04-02,2317,鴻海,94.83,95.20,94.62,95.14,35408,3368874
2024-04-03,2317,鴻海,95.05,95.56,92.22,94.50,56379,5327631
2024-04-04,2317,鴻海,94.35,94.97,91.30,91.31,21519,1964962
2024-04-05,2317,鴻海,91.95,91.97,90.04,90.16,39657,3575572
2024-04-08,2317,鴻海,89.61,91.34,88.32,90.67,43378,3933293
2024-04-09,2317,鴻海,90.20,91.77,89.79,91.53,20231,1851832
2024-04-10,2317,鴻海,91.17,91.71,89.50,89.57,68168,6105804
2024-04-11,2317,鴻海,90.21,90.98,90.12,90.90,19037,1730519
2024-04-12,2317,鴻海,91.27,92.23,89.06,90.43,34707,3138581
2024-04-15,2317,鴻海,89.75,91.09,88.67,89.02,20673,1840258
2024-04-16,2317,鴻海,87.76,90.42,86.97,89.81,50746,4557338
2024-04-17,2317,鴻海,90.07,92.80,89.99,91.47,67852,6206282
2024-04-18,2317,鴻海,91.89,92.30,89.15,89.24,67873,6056781
2024-04-19,2317,鴻海,89.69,91.08,88.43,88.70,21755,1929639
2024-04-22,2317,鴻海,88.48,90.50,88.22,90.45,17057,1542779
2024-04-23,2317,鴻海,90.31,92.45,89.79,92.36,66076,6102850
2024-04-24,2317,鴻海,91.56,93.87,91.43,93.55,7622,713006
2024-04-25,2317,鴻海,93.42,93.53,91.90,92.06,13485,1241373
2024-04-26,2317,鴻海,93.01,93.76,91.78,92.54,18981,1756459
2024-04-29,2317,鴻海,93.19,93.34,90.77,92.87,40505,3761859
2024-04-30,2317,鴻海,93.26,95.58,91.53,95.20,65573,6242461
2024-05-01,2317,鴻海,95.35,97.48,94.57,97.17,20946,2035385
2024-05-02,2317,鴻海,97.18,97.25,96.47,97.13,64156,6231528
2024-05-03,2317,鴻海,96.72,97.71,96.60,97.35,20162,1962793
2024-05-06,2317,鴻海,98.06,99.64,96.95,99.14,49973,4954307
2024-05-07,2317,鴻海,100.08,101.77,100.06,101.10,68373,6912294
2024-05-08,2317,鴻海,100.46,102.49,99.17,101.75,43384,4414107
2024-05-09,2317,鴻海,100.93,102.95,100.86,102.60,33763,3464114
2024-05-10,2317,鴻海,103.17,103.73,100.45,101.72,36723,3735461
2024-05-13,2317,鴻海,102.76,104.48,99.57,100.41,33802,3393996
2024-05-14,2317,鴻海,101.37,101.92,99.23,100.21,43733,4382577
2024-05-15,2317,鴻海,100.65,100.87,98.53,99.03,57234,5667716
2024-05-16,2317,鴻海,98.79,99.02,96.85,97.81,52595,5144349
2024-05-17,2317,鴻海,97.96,101.32,97.41,99.72,13639,1360121
2024-05-20,2317,鴻海,100.34,101.40,99.93,101.19,27325,2764996
2024-05-21,2317,鴻海,101.67,102.58,100.96,102.14,24871,2540410
2024-05-22,2317,鴻海,101.65,104.48,101.34,103.68,65049,6744074
2024-05-23,2317,鴻海,103.13,104.22,102.61,103.87,7951,825876
2024-05-24,2317,鴻海,104.18,105.49,102.75,102.78,30016,3085090
2024-05-27,2317,鴻海,102.64,103.45,99.94,99.99,38931,3892695
2024-05-28,2317,鴻海,99.54,101.63,99.46,101.46,56055,5687386
2024-05-29,2317,鴻海,101.72,104.77,101.67,103.48,28546,2953975
2024-05-30,2317,鴻海,102.92,103.48,101.94,102.03,32755,3341855
2024-05-31,2317,鴻海,101.33,103.66,101.18,102.98,28539,2938973
2024-06-03,2317,鴻海,103.28,104.95,102.55,104.08,31465,3274981
2024-06-04,2317,鴻海,103.26,103.36,101.91,101.97,43903,4476944
2024-06-05,2317,鴻海,101.87,102.82,99.26,100.15,72119,7222721
2024-06-06,2317,鴻海,99.22,99.45,97.82,99.16,11687,1158844
2024-06-07,2317,鴻海,98.36,101.37,98.21,100.54,8292,833660
2024-06-10,2317,鴻海,100.37,103.22,99.13,103.13,59976,6185575
2024-06-11,2317,鴻海,103.76,103.86,100.04,100.16,38517,3858040
2024-06-12,2317,鴻海,100.03,101.30,99.75,100.35,22184,2226262
2024-06-13,2317,鴻海,100.58,100.85,98.38,98.73,42630,4208924
2024-06-14,2317,鴻海,98.36,101.09,97.49,100.61,30639,3082601
2024-06-17,2317,鴻海,100.71,102.13,99.51,101.83,10310,1049823
2024-06-18,2317,鴻海,101.36,102.46,101.26,101.73,21298,2166647
