Township,County,Population,lat,lon
名間鄉,南投縣,37000,23.9849,120.9479
集集鎮,南投縣,10000,23.9369,120.9599
仁愛鄉,南投縣,15000,23.9489,120.9599
宜蘭市,宜蘭縣,94000,24.6781,121.7138
羅東鎮,宜蘭縣,71000,24.6901,121.7138
礁溪鄉,宜蘭縣,35000,24.7021,121.7138
五結鄉,宜蘭縣,39000,24.7141,121.7138
頭城鎮,宜蘭縣,28000,24.7261,121.7138
冬山鄉,宜蘭縣,51000,24.6781,121.7258
大同鄉,宜蘭縣,6000,24.6901,121.7258
竹北市,新竹縣,215000,24.8147,120.9937
湖口鄉,新竹縣,80000,24.8267,120.9937
新豐鄉,新竹縣,58000,24.8387,120.9937
竹東鎮,新竹縣,97000,24.8507,120.9937
新埔鎮,新竹縣,31000,24.8627,120.9937
關西鎮,新竹縣,26000,24.8147,121.0057
尖石鄉,新竹縣,9500,24.8267,121.0057
花蓮市,花蓮縣,102000,23.9631,121.5775
吉安鄉,花蓮縣,82000,23.9751,121.5775
玉里鎮,花蓮縣,23000,23.9871,121.5775
鳳林鎮,花蓮縣,10000,23.9991,121.5775
光復鄉,花蓮縣,11000,24.0111,121.5775
壽豐鄉,花蓮縣,18000,23.9631,121.5895
秀林鄉,花蓮縣,15000,23.9751,121.5895
瑞穗鄉,花蓮縣,10000,23.9871,121.5895
臺東市,臺東縣,110000,22.7343,121.1204
成功鎮,臺東縣,13000,22.7463,121.1204
關山鎮,臺東縣,8000,22.7583,121.1204
卑南鄉,臺東縣,16000,22.7703,121.1204
太麻里鄉,臺東縣,11000,22.7823,121.1204
池上鄉,臺東縣,7500,22.7343,121.1324
蘭嶼鄉,臺東縣,5000,22.7463,121.1324
鹿野鄉,臺東縣,7500,22.7583,121.1324
仁愛區,基隆市,36000,25.1036,121.7152
中正區,基隆市,53000,25.1156,121.7152
信義區,基隆市,51000,25.1276,121.7152
安樂區,基隆市,78000,25.1396,121.7152
暖暖區,基隆市,36000,25.1516,121.7152
七堵區,基隆市,55000,25.1036,121.7272
中山區,基隆市,43000,25.1156,121.7272
東區,新竹市,223000,24.7898,120.9435
北區,新竹市,153000,24.8018,120.9435
香山區,新竹市,81000,24.8138,120.9435
東區,嘉義市,137000,23.4561,120.4251
西區,嘉義市,128000,23.4681,120.4251
馬公市,澎湖縣,58000,23.5472,119.5553
湖西鄉,澎湖縣,15000,23.5592,119.5553
白沙鄉,澎湖縣,10000,23.5712,119.5553
西嶼鄉,澎湖縣,9000,23.5832,119.5553
望安鄉,澎湖縣,4000,23.5952,119.5553
七美鄉,澎湖縣,3700,23.5472,119.5673
金城鎮,金門縣,43000,24.4081,118.2931
金湖鎮,金門縣,36000,24.4201,118.2931
金沙鎮,金門縣,22000,24.4321,118.2931
金寧鄉,金門縣,37700,24.4441,118.2931
烈嶼鄉,金門縣,13000,24.4561,118.2931
烏坵鄉,金門縣,700,24.4081,118.3051
南竿鄉,連江縣,8000,26.1368,119.9272
北竿鄉,連江縣,2500,26.1488,119.9272
莒光鄉,連江縣,1700,26.1608,119.9272
東引鄉,連江縣,1500,26.1728,119.9272
